cid,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
1275000519,0.0855,0.0806,0.0864,0.0831,0.0635,0.1263,0.0616,0.0801,0.0713,0.0845,0.1487,0.107,0.0901,0.0347,0.0316,0.1168,0.09,0.0572,0.1253,0.0341,0.0344,0.0592,0.0479,0.0429,0.0079,0.0007,0.0175,0.0911,0.024,0.0091,0.0343,0.0585,0.0706,0.0317,0.0659,0.0243,0.0228,0.052,0.0276,0.024,0.0301,0.0955,0.0423,0.057,0.0622,0.1093,0.0519,0.0346,0.0627,0.0632,0.1226,0.0636,0.0486,0.0438,0.0183,0.1157,0.025,0.0751,0.0758,0.0828,0.1494,0.0897,0.0727,0.0645,0.1509,0.0879,0.064,0.052,0.1291,0.0427,0.0358,0.0448,0.0435,0.0426,0.1072,0.0206,0.0423,0.0428,0.0119,0.0118,0.0284,0.0749,0.0119,0.012,,,,,,,,,,,,
1275000519,0.1285,0.0799,0.0782,0.0522,0.1462,0.0597,0.0508,0.0544,0.151,0.1023,0.1101,0.1892,0.0853,0.0928,0.0313,0.1017,0.0736,0.0637,0.062,0.066,0.0391,0.0296,0.0143,0.0246,0.0214,0.0732,0.0714,0.0643,0.041,0.0557,0.0595,0.0599,0.1435,0.0622,0.1194,0.0904,0.0668,0.0908,0.0925,0.0725,0.162,0.116,0.1023,0.1618,0.0898,0.0961,0.1629,0.0912,0.0995,0.095,0.1771,0.1154,0.1181,0.1025,0.1045,0.0656,0.0706,0.1364,0.0894,0.0732,0.131,0.0725,0.0583,0.073,0.1028,0.0381,0.0356,0.0678,0.0247,0.0124,0.0106,0.0148,0.0745,0.0144,0.0112,0.0112,0.0111,0.0111,0.0102,0.0103,0.0734,0.0102,0.0102,0.0102,,,,,,,,,,,,
1275000519,0.0899,0.1587,0.0945,0.0905,0.1084,0.1456,0.0781,0.0722,0.1324,0.1923,0.1405,0.1492,0.2094,0.1557,0.141,0.1803,0.0897,0.1014,0.1618,0.1175,0.0615,0.1454,0.0785,0.038,0.0887,0.0308,0.0462,0.0458,0.1065,0.0432,0.0567,0.1047,0.0499,0.0308,0.1396,0.1305,0.1288,0.2048,0.1069,0.1101,0.0823,0.0925,0.1026,0.1521,0.0493,0.0739,0.0714,0.1577,0.1002,0.0703,0.0969,0.0947,0.0725,0.0564,0.135,0.0633,0.0781,0.0717,0.1196,0.0462,0.0471,0.0543,0.0368,0.0306,0.0305,0.0954,0.0311,0.046,0.0395,0.0471,0.0478,0.0614,0.0586,0.0119,0.0115,0.0115,0.0113,0.0113,0.0105,0.0105,0.0106,0.0107,0.0105,0.0105,,,,,,,,,,,,
1275000519,0.0803,0.0927,0.1476,0.0822,0.0826,0.0779,0.0765,0.0849,0.1687,0.1254,0.1519,0.1703,0.1482,0.1426,0.142,0.1405,0.1399,0.1404,0.1118,0.1414,0.0585,0.0503,0.0363,0.0974,0.0399,0.0312,0.1035,0.0385,0.0397,0.0364,0.0443,0.0616,0.0402,0.0643,0.0627,0.1442,0.123,0.1142,0.125,0.1081,0.1767,0.1175,0.1358,0.1321,0.0865,0.078,0.1398,0.0888,0.0889,0.1358,0.1003,0.0582,0.0681,0.1227,0.0561,0.0686,0.0694,0.1763,0.0934,0.0868,0.0817,0.0873,0.1505,0.0906,0.0788,0.074,0.0849,0.0641,0.0606,0.0433,0.0448,0.1098,0.0344,0.0331,0.0326,0.0326,0.0357,0.0988,0.032,0.0224,0.0384,0.0262,0.031,0.0213,,,,,,,,,,,,
1275000519,0.0882,0.095,0.0993,0.0913,0.0906,0.0901,0.0946,0.1506,0.1082,0.1632,0.1434,0.1836,0.1731,0.1708,0.1637,0.1643,0.214,0.1542,0.1326,0.18,0.1028,0.0927,0.1084,0.0953,0.1588,0.0629,0.0834,0.1259,0.0616,0.0608,0.1175,0.0647,0.056,0.1528,0.129,0.1782,0.1644,0.1724,0.1479,0.1408,0.1005,0.1608,0.0921,0.1076,0.1857,0.1223,0.1202,0.1946,0.1297,0.1074,0.1278,0.1907,0.1029,0.0858,0.0963,0.1147,0.1099,0.1063,0.0975,0.1039,0.128,0.1429,0.1973,0.1352,0.1409,0.1145,0.167,0.0684,0.0412,0.026,0.0755,0.0121,0.0121,0.0121,0.0121,0.0121,0.0752,0.0123,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,,,,,,,,,,,,
1275000519,0.1323,0.1252,0.1209,0.0973,0.0961,0.1034,0.0998,0.1096,0.2011,0.149,0.1561,0.2185,0.1724,0.1716,0.1777,0.1814,0.1512,0.2169,0.1231,0.0874,0.1816,0.072,0.0578,0.0516,0.0762,0.0585,0.1172,0.0802,0.0714,0.1846,0.1152,0.0962,0.1778,0.1903,0.1958,0.1687,0.1813,0.1086,0.1613,0.0927,0.1752,0.1022,0.1417,0.2126,0.1372,0.1163,0.1279,0.1182,0.1175,0.084,0.0812,0.0946,0.1597,0.0647,0.0711,0.136,0.0828,0.0805,0.0941,0.0916,0.1063,0.0738,0.073,0.0463,0.0333,0.0332,0.0332,0.0323,0.0323,0.0327,0.0488,0.1288,0.0342,0.0337,0.0337,0.0337,0.0355,0.0985,0.0341,0.0344,0.0345,0.0344,0.0344,0.0965,,,,,,,,,,,,
1275000519,0.1762,0.1245,0.1784,0.1199,0.1127,0.1083,0.181,0.1069,0.1559,0.2471,0.1734,0.1795,0.1525,0.1338,0.1231,0.202,0.1155,0.1007,0.1436,0.0861,0.0995,0.1521,0.1326,0.144,0.1967,0.1243,0.0738,0.1664,0.0976,0.076,0.1331,0.0648,0.0882,0.1477,0.1016,0.0924,0.1556,0.1149,0.1098,0.1509,0.0828,0.1118,0.1584,0.0976,0.0737,0.0468,0.0455,0.0786,0.0873,0.0849,0.0869,0.0778,0.076,0.0921,0.1027,0.1329,0.1649,0.0758,0.1081,0.1649,0.1019,0.1011,0.0833,0.1438,0.0731,0.0992,0.1,0.1675,0.0801,0.0775,0.0946,0.1264,0.0457,0.0266,0.0211,0.0856,0.0235,0.0249,0.0242,0.0234,0.0197,0.1137,0.0501,0.0547,,,,,,,,,,,,
1275000519,0.1635,0.1158,0.1224,0.1197,0.1781,0.1191,0.1158,0.1156,0.1857,0.108,0.1205,0.1259,0.2082,0.0882,0.0876,0.1738,0.0913,0.0863,0.1531,0.069,0.0827,0.0468,0.0396,0.0365,0.1039,0.0016,0.0175,0.0731,0.0061,0.0198,0.1087,0.0504,0.0395,0.1349,0.0853,0.0889,0.1026,0.1557,0.1002,0.1073,0.1607,0.089,0.1004,0.1932,0.1031,0.0915,0.0649,0.1342,0.0826,0.1322,0.1411,0.2134,0.1306,0.13,0.1868,0.125,0.1321,0.101,0.1028,0.1017,0.0863,0.1536,0.0965,0.0936,0.0923,0.1058,0.0992,0.1093,0.0278,0.0089,0.0104,0.0103,0.0103,0.0102,0.0734,0.0103,0.0142,0.0105,0.0095,0.0093,0.0125,0.0724,0.0125,0.0146,,,,,,,,,,,,
1275000519,0.1437,0.0781,0.0786,0.0794,0.142,0.0884,0.0759,0.0613,0.1275,0.1274,0.1271,0.132,0.1311,0.2184,0.1392,0.1269,0.129,0.0944,0.0905,0.089,0.165,0.0573,0.0368,0.0992,0.0472,0.0732,0.1376,0.068,0.0738,0.0652,0.0815,0.0639,0.1333,0.0513,0.0765,0.0742,0.0814,0.0634,0.0429,0.131,0.0594,0.076,0.0918,0.1806,0.0912,0.1089,0.0982,0.1759,0.0993,0.0799,0.0503,0.1228,0.0583,0.0609,0.1315,0.0947,0.104,0.1215,0.1168,0.1706,0.1281,0.1035,0.0969,0.0937,0.1343,0.0564,0.0324,0.0323,0.0322,0.0324,0.0339,0.0338,0.097,0.0337,0.0336,0.0338,0.0336,0.0369,0.0328,0.0987,0.0324,0.0323,0.0325,0.0324,,,,,,,,,,,,
1275000519,0.1139,0.1143,0.1133,0.1616,0.0764,0.0962,0.0877,0.1579,0.0961,0.1297,0.2349,0.1729,0.1543,0.1803,0.1605,0.1345,0.2059,0.107,0.0857,0.1295,0.0231,0.0101,0.0062,0.0617,0.0362,0.0028,0.073,0.0105,0.0089,0.0733,0.0159,0.05,0.1275,0.0671,0.0968,0.1544,0.1116,0.1092,0.1626,0.0819,0.0919,0.1782,0.124,0.1302,0.1018,0.0764,0.0417,0.0763,0.1423,0.1082,0.1089,0.1396,0.072,0.0727,0.1479,0.0616,0.0996,0.0792,0.0707,0.071,0.0679,0.1298,0.0642,0.0624,0.0622,0.062,0.1203,0.0728,0.0985,0.0613,0.0643,0.0446,0.0502,0.0425,0.0378,0.0246,0.0227,0.0224,0.0253,0.0443,0.107,0.0456,0.044,0.048,,,,,,,,,,,,
